title,digital,status,existing_match,source_tmdbId,source_year,notes,tmdbId,tmdbTitle,tmdbOriginalTitle,tmdbYear,tmdbReleaseDate,tmdbOverview,tmdbPosterPath,tmdbBackdropPath,match_type,confidence,review
Kick-Ass,Fandango | Movies Anywhere,MATCH_EXISTING,Kick-Ass,23483,2010,,23483,Kick-Ass,Kick-Ass,2010,2010-03-26,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",/iHMbrTHJwocsNvo5murCBw0CwTo.jpg,/P4bGyJQF0shAcRku3I2perNUQR.jpg,EXISTING_TMDB_ID,CONFIDENT,
Kick-Ass 2,Fandango | Movies Anywhere,MATCH_EXISTING,Kick-Ass 2,59859,2013,,59859,Kick-Ass 2,Kick-Ass 2,2013,2013-07-17,"After Kick-Ass' insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",/1go2A3gdQjaMuHWquybgoJlQRcX.jpg,/dHBYguQvCDa00GMoidNYa7IOD8y.jpg,EXISTING_TMDB_ID,CONFIDENT,
Kingsman: The Secret Service,Fandango | Movies Anywhere,MATCH_EXISTING,Kingsman: The Secret Service,207703,2015,,207703,Kingsman: The Secret Service,Kingsman: The Secret Service,2015,2015-01-24,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,/17i5YPTfHOjXoieArpATWGRhLj1.jpg,/qzUIOTk0E3F1zjvYjcBRTKUTgf9.jpg,EXISTING_TMDB_ID,CONFIDENT,
Knight and Day,Fandango | Movies Anywhere,MATCH_EXISTING,Knight and Day,37834,2010,,37834,Knight and Day,Knight and Day,2010,2010-06-15,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",/phhp52CZZJiGYmiOTp9ZBDkGHB3.jpg,/k5mNW8qutywD3GhAuaq33qcQR2y.jpg,EXISTING_TMDB_ID,CONFIDENT,
Last Holiday,Fandango,MATCH_EXISTING,Last Holiday,17379,2006,,17379,Last Holiday,Last Holiday,2006,2006-01-13,"The discovery that she has a terminal illness prompts introverted department store saleswoman Georgia Byrd to reflect on what she realizes has been an overly cautious life. With weeks to live, she withdraws her life savings, sells all her possessions and jets off to Europe where she lives it up at a posh hotel. Upbeat and passionate, Georgia charms everybody she meets, including renowned Chef Didier. The only one missing from her new life is her longtime crush Sean Williams.",/2SkM1AHIgCQgdOboER6euPKTxGF.jpg,/7D1v3y0RPoyJBZAx4eGdjcqJUuD.jpg,EXISTING_TMDB_ID,CONFIDENT,
Legends of the Fall,Fandango | Movies Anywhere,MATCH_EXISTING,Legends of the Fall,4476,1994,,4476,Legends of the Fall,Legends of the Fall,1994,1994-12-23,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",/89DRDb6mmNkIekqSeAzz13faQDt.jpg,/eVIuBKpeLB8rkozkj8bVmxDuAsp.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Lego Batman Movie, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Lego Batman Movie, The",324849,2017,"Title variant normalized to existing movie record; per your rule, assume same version.",324849,The Lego Batman Movie,The Lego Batman Movie,2017,2017-02-08,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",/e1TliRWOdXQ73pRunbpFiGst6Kd.jpg,/rWYtghaUJSDvQm4jmXiCPXBHUdQ.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Lego Movie 2: The Second Part, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Lego Movie 2: The Second Part, The",280217,2019,"Title variant normalized to existing movie record; per your rule, assume same version.",280217,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,2019,2019-02-06,"It's been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild.",/QTESAsBVZwjtGJNDP7utiGV37z.jpg,/2U2h8PpsaWn90jdtyG0tu9ZxttZ.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Lego Movie, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Lego Movie, The",137106,2014,"Title variant normalized to existing movie record; per your rule, assume same version.",137106,The Lego Movie,The Lego Movie,2014,2014-02-06,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,/6gI1dAkOaUQ6659OdRPsTLlsem5.jpg,EXISTING_TMDB_ID,CONFIDENT,
Love Actually,Fandango | Movies Anywhere,MATCH_EXISTING,Love Actually,508,2003,,508,Love Actually,Love Actually,2003,2003-09-07,Eight very different couples deal with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London.,/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,/xUWf5xX0AnZgAnYXAMk03zTbsef.jpg,EXISTING_TMDB_ID,CONFIDENT,
Love the Coopers,Fandango | Movies Anywhere,MATCH_EXISTING,Love the Coopers,333348,2015,,333348,Love the Coopers,Love the Coopers,2015,2015-11-12,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.",/fPW1BHZhUEViOmDAHFfyLezoQdI.jpg,/5DxFiNyWHCH58nffyCtzMfPjDLJ.jpg,EXISTING_TMDB_ID,CONFIDENT,
Maggie,Fandango | Movies Anywhere,MATCH_EXISTING,Maggie,287424,2015,,287424,Maggie,Maggie,2015,2015-05-08,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",/twa9gXjocLM629sJrQYVtmF306R.jpg,/8LYxSH8ZJzKbS3kNIELsVc05RNH.jpg,EXISTING_TMDB_ID,CONFIDENT,
Major League,Fandango,MATCH_EXISTING,Major League,9942,1989,,9942,Major League,Major League,1989,1989-02-16,"When Rachel Phelps inherits the Cleveland Indians from her deceased husband, she's determined to move the team to a warmer climate—but only a losing season will make that possible, which should be easy given the misfits she's hired. Rachel is sure her dream will come true, but she underestimates their will to succeed.",/ypUedY9zX4nGGf1lQv1UGc8PhPA.jpg,/v37dE7vn1xogzcxOrHoVbdG2pH3.jpg,EXISTING_TMDB_ID,CONFIDENT,
Maleficent,Fandango | Movies Anywhere,MATCH_EXISTING,Maleficent,102651,2014,,102651,Maleficent,Maleficent,2014,2014-05-28,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",/ik8PugpL41s137RAWEGTAWu0dPo.jpg,/bNiiUCQUD7ij5Ybh2GoWSZwqAb1.jpg,EXISTING_TMDB_ID,CONFIDENT,
Man of Steel,Fandango | Movies Anywhere,MATCH_EXISTING,Man of Steel,49521,2013,,49521,Man of Steel,Man of Steel,2013,2013-06-12,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",/8GFtkImmK0K1VaUChR0n9O61CFU.jpg,/j2MlEEpA3wgwQiJB6p1UHC50oiw.jpg,EXISTING_TMDB_ID,CONFIDENT,
Matchstick Men,Fandango | Movies Anywhere,MATCH_EXISTING,Matchstick Men,7270,2003,,7270,Matchstick Men,Matchstick Men,2003,2003-09-12,A phobic con artist and his protege are on the verge of pulling off a lucrative swindle when the con artist's teenage daughter arrives unexpectedly.,/cIWQzIoWOvx0piZM0UpiHMhzHWW.jpg,/7HiMvoDSYW4fyu4rkmWH6pcKKuF.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Matrix, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Matrix, The",603,1999,,603,The Matrix,The Matrix,1999,1999-03-31,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,/tlm8UkiQsitc8rSuIAscQDCnP8d.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Mechanic, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Mechanic, The",27582,2011,,27582,The Mechanic,The Mechanic,2011,2011-01-13,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code requiring professional perfection and total detachment. One of an elite group of assassins, Bishop may be the best in the business - with a unique talent for cleanly eliminating targets. When Harry McKenna, his close friend and mentor, is murdered, Harry's son comes to him with vengeance in his heart and a desire to learn Bishop's trade, signaling the birth of a deadly partnership.",/k37axEHszFP9WOVvbozxF0r7X7g.jpg,/dYb6kgvoGjUH59n2uB4eV9xqmKR.jpg,EXISTING_TMDB_ID,CONFIDENT,
Meg 2: The Trench,Fandango | Movies Anywhere,MATCH_EXISTING,Meg 2: The Trench,615656,2023,,615656,Meg 2: The Trench,Meg 2: The Trench,2023,2023-08-02,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Meg, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Meg, The",345940,2018,,345940,The Meg,The Meg,2018,2018-08-08,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,/ibKeXahq4JD63z6uWQphqoJLvNw.jpg,EXISTING_TMDB_ID,CONFIDENT,
Mike and Dave Need Wedding Dates,Fandango | Movies Anywhere,MATCH_EXISTING,Mike and Dave Need Wedding Dates,316023,2016,,316023,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,2016-07-07,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.",/alWBdyvXf1LSixnn1IfID5HMtLx.jpg,/4lfP1eVs5Q3Gk0K2kn1RvWs5alH.jpg,EXISTING_TMDB_ID,CONFIDENT,
Minority Report,Fandango,MATCH_EXISTING,Minority Report,180,2002,,180,Minority Report,Minority Report,2002,2002-06-20,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",/qtgFcnwh9dAFLocsDk2ySDVS8UF.jpg,/PrMb3oeEluauy0q9ZO5xL33A6C.jpg,EXISTING_TMDB_ID,CONFIDENT,
Mission: Impossible - Ghost Protocol,Fandango,MATCH_EXISTING,Mission: Impossible - Ghost Protocol,56292,2011,,56292,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,2011-12-07,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",/eRZTGx7GsiKqPch96k27LK005ZL.jpg,/ih4lZkUpmSE7AP3maymiO72xJ1z.jpg,EXISTING_TMDB_ID,CONFIDENT,
Moneyball,Fandango | Movies Anywhere,MATCH_EXISTING,Moneyball,60308,2011,,60308,Moneyball,Moneyball,2011,2011-09-23,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",/4yIQq1e6iOcaZ5rLDG3lZBP3j7a.jpg,/kYlBNDkB5qFdpTDpnlQdH0CdK3T.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Monsters, Inc.",Fandango,MATCH_EXISTING,"Monsters, Inc.",585,2001,,585,"Monsters, Inc.","Monsters, Inc.",2001,2001-11-01,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,/sDTnMOJ3H5wI38OxObmCtK7wfd5.jpg,EXISTING_TMDB_ID,CONFIDENT,
Mortal Kombat,Fandango | Movies Anywhere,MATCH_EXISTING,Mortal Kombat,460465,2021,,460465,Mortal Kombat,Mortal Kombat,2021,2021-04-07,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg,/6ELCZlTA5lGUops70hKdB83WJxH.jpg,EXISTING_TMDB_ID,CONFIDENT,
Mr. Right,Fandango | Movies Anywhere,MATCH_EXISTING,Mr. Right,333385,2016,,333385,Mr. Right,Mr. Right,2016,2016-02-29,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",/aSx5YUCLcSUAR4nt93aeIpZYHF6.jpg,/ugnGe88pG04SViHpbXbqenzKkOt.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Mummy Returns, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Mummy Returns, The",1734,2001,"Title variant normalized to existing movie record; per your rule, assume same version.",1734,The Mummy Returns,The Mummy Returns,2001,2001-05-04,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.",/kdJsW7hcy1lrj7tdMPycTAQPAiR.jpg,/7s7WkAFPBsMTprYMbqbgKoppQsR.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Mummy, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Mummy, The",564,1999,"Title variant normalized to existing movie record; per your rule, assume same version.",564,The Mummy,The Mummy,1999,1999-04-16,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,/8zLS8p1tRyWFLRFfmgQq0j5WE6z.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Mummy: Tomb of the Dragon Emperor, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Mummy: Tomb of the Dragon Emperor, The",1735,2008,"Title variant normalized to existing movie record; per your rule, assume same version.",1735,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,2008,2008-07-01,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",/A3acM1lX5PNWQa6r5qeMAJOxbnT.jpg,/W034dd7w2malON26KWyZm4y37W.jpg,EXISTING_TMDB_ID,CONFIDENT,
National Lampoon's Christmas Vacation,Fandango | Movies Anywhere,MATCH_EXISTING,National Lampoon's Christmas Vacation,5825,1989,,5825,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,1989,1989-11-30,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",/oat42hUw8XzKYUmfy0YLAxYd484.jpg,/klH8ti8LUaEhktnjdHb1RW8Yq6w.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Natural, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Natural, The",11393,1984,"Title variant normalized to existing movie record; per your rule, assume same version.",11393,The Natural,The Natural,1984,1984-05-11,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,/fwn1gYeOkS1XHKVFdNorKSIpix8.jpg,/sqZGYcHJWWNHsECBl57FOCfjpFX.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Night Before, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Night Before, The",38966,1988,"Title variant normalized to existing movie record; per your rule, assume same version.",38966,The Night Before,The Night Before,1988,1988-04-15,A popular beauty surprisingly asks a nerd to take her to the prom. He wakes up hours later in a sleazy alley. She's missing but he remembers nothing about it.,/o3GOrWh7ytlKsdOGI77WFauZORr.jpg,/uAWNhTbaCkxkm7bmKdxx7WCpQ3l.jpg,EXISTING_TMDB_ID,CONFIDENT,
Now You See Me,Fandango | Movies Anywhere,MATCH_EXISTING,Now You See Me,75656,2013,,75656,Now You See Me,Now You See Me,2013,2013-05-29,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg,/xEY0MV2jSQBz9iOJfCFvLTiPGMA.jpg,EXISTING_TMDB_ID,CONFIDENT,
Now You See Me 2,Fandango | Movies Anywhere,MATCH_EXISTING,Now You See Me 2,291805,2016,,291805,Now You See Me 2,Now You See Me 2,2016,2016-06-02,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",/A81kDB6a1K86YLlcOtZB27jriJh.jpg,/oFQilRMEq6yQbtMPxIYWpXeQ5ZN.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Now You See Me, Now You Don't",Fandango | Movies Anywhere,MATCH_EXISTING,"Now You See Me, Now You Don't",425274,2025,,425274,Now You See Me: Now You Don't,Now You See Me: Now You Don't,2025,2025-11-12,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,/ufqytAlziHq5pljKByGJ8IKhtEZ.jpg,EXISTING_TMDB_ID,CONFIDENT,
Ocean's 8,Fandango | Movies Anywhere,MATCH_EXISTING,Ocean's 8,402900,2018,,402900,Ocean's Eight,Ocean's Eight,2018,2018-06-07,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",/MvYpKlpFukTivnlBhizGbkAe3v.jpg,/scQf03Fm3jeyv4FH04qvi4fp4wh.jpg,EXISTING_TMDB_ID,CONFIDENT,
Ocean's Eleven,Fandango | Movies Anywhere | Prime,MATCH_EXISTING,Ocean's Eleven,161,2001,,161,Ocean's Eleven,Ocean's Eleven,2001,2001-12-07,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,/ncoqdHs1poUaBqyKic9YI8ai7MP.jpg,EXISTING_TMDB_ID,CONFIDENT,
Ocean's Thirteen,Fandango | Movies Anywhere,MATCH_EXISTING,Ocean's Thirteen,298,2007,,298,Ocean's Thirteen,Ocean's Thirteen,2007,2007-06-05,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",/pBsZs4zYUiUTemqbikTZ76iQRaU.jpg,/uS18gs16EXfFJhjA11cXj4WWPMb.jpg,EXISTING_TMDB_ID,CONFIDENT,
Ocean's Twelve,Fandango | Movies Anywhere,MATCH_EXISTING,Ocean's Twelve,163,2004,,163,Ocean's Twelve,Ocean's Twelve,2004,2004-12-09,"Despite pulling off one of the biggest heists in Las Vegas history and splitting the $160 million take, each of the infamous Ocean's crew have tried to go straight, lay low and live a legit life... but that's proven to be a challenge. Casino owner Terry Benedict demands that Danny Ocean return the money, plus millions more in interest. Unable to come up the cash, the crew is forced to come together to pull off another series of heists, this time in Rome, Paris, and Amsterdam – but a Europol agent is hot on their heels.",/pE5anFf7nf6ah7V3VRezQ1KSovi.jpg,/5b5HrewiViLWEdMR4dmbd7ajQ8Q.jpg,EXISTING_TMDB_ID,CONFIDENT,
Office Christmas Party,Fandango,MATCH_EXISTING,Office Christmas Party,384682,2016,,384682,Office Christmas Party,Office Christmas Party,2016,2016-11-25,"When Carol Vanstone, CEO of the technology company Zenotek, expresses her intention to close the Chicago branch, run by her brother Clay, he and his co-workers organize a Christmas party in an effort to impress a potential client and save their jobs. But the party gets out of control…",/7r3w3cPTbNEIr1imb8zXyeIJCJe.jpg,/1uDvPjKthACQKeQBvkiJ3aSvtdh.jpg,EXISTING_TMDB_ID,CONFIDENT,
Pan,Fandango | Movies Anywhere,MATCH_EXISTING,Pan,266647,2015,,266647,Pan,Pan,2015,2015-09-24,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",/w8i0mZR7MEL7c3bXSsuYg7VJsew.jpg,/fACoy2VWw9lz1UbqrgtbIcSYi5e.jpg,EXISTING_TMDB_ID,CONFIDENT,
Pitch Perfect,Fandango | Movies Anywhere,MATCH_EXISTING,Pitch Perfect,114150,2012,,114150,Pitch Perfect,Pitch Perfect,2012,2012-09-28,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",/gsFoJk9g8W3zgaipRrrURk7LbiF.jpg,/2sE6hrwfn9IV7eDlMvpIb9q1EWy.jpg,EXISTING_TMDB_ID,CONFIDENT,
Pitch Perfect 2,Fandango | Movies Anywhere,MATCH_EXISTING,Pitch Perfect 2,254470,2015,,254470,Pitch Perfect 2,Pitch Perfect 2,2015,2015-05-07,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",/fQaEGzFmvTYu3G641WV0Tg9auAt.jpg,/bWOfRV1Ubk9SWEDZDDjsmIUCcbZ.jpg,EXISTING_TMDB_ID,CONFIDENT,
Pitch Perfect 3,Fandango | Movies Anywhere,MATCH_EXISTING,Pitch Perfect 3,353616,2017,,353616,Pitch Perfect 3,Pitch Perfect 3,2017,2017-12-20,"After the highs of winning the world championships, the Bellas find themselves split apart and discovering there aren't job prospects for making music with your mouth. But when they get the chance to reunite for an overseas USO tour, this group of awesome nerds will come together to make some music, and some questionable decisions, one last time.",/v4tbRRX0OSOHcgz2869rEjcBwOJ.jpg,/AuKCLmUmdzhXPdaTaR8BMxc5Rv6.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Planes, Trains and Automobiles",Fandango,MATCH_EXISTING,"Planes, Trains and Automobiles",2609,1987,,2609,"Planes, Trains and Automobiles","Planes, Trains and Automobiles",1987,1987-11-26,"An irritable marketing executive, Neal Page, is heading home to Chicago for Thanksgiving when a number of delays force him to travel with a well meaning but overbearing shower curtain ring salesman, Del Griffith.",/fwi2cET87xArJCb8MdbWq2BZO3n.jpg,/4f8JBqvWyPObKTrjvJnp9BeOUyY.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Polar Express, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Polar Express, The",5255,2004,"Title variant normalized to existing movie record; per your rule, assume same version.",5255,The Polar Express,The Polar Express,2004,2004-11-10,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",/eOoCzH0MqeGr2taUZO4SwG416PF.jpg,/jtOvTVlkF8TlaOq94oNXRc9u2yp.jpg,EXISTING_TMDB_ID,CONFIDENT,
Rambo,Fandango | Movies Anywhere,MATCH_EXISTING,Rambo,7555,2008,,7555,Rambo,Rambo,2008,2008-01-24,"In Thailand, ex-Green Beret John James Rambo joins a group of mercenaries to venture into war-torn neighboring Myanmar to rescue a group of Christian aid workers who have been kidnapped by a ruthless local infantry unit.",/3mInub5c8o00H7EJ1TrjAqOzIuc.jpg,/wzfTG1obTazlGXiIcfRIviBZ1QU.jpg,EXISTING_TMDB_ID,CONFIDENT,
Return to Never Land,Fandango,MATCH_EXISTING,Return to Never Land,16690,2002,,16690,Return to Never Land,Return to Never Land,2002,2002-02-14,"In 1940, the world is besieged by World War II. Wendy, all grown up, has two children; including Jane, who does not believe Wendy's stories about Peter Pan.",/wB3r2b8sxUZspqNyr8copMlt7se.jpg,/tz0MjeUUGgyfNfBPiIksaqEgos6.jpg,EXISTING_TMDB_ID,CONFIDENT,
Riddick,Fandango | Movies Anywhere,MATCH_EXISTING,Riddick,87421,2013,,87421,Riddick,Riddick,2013,2013-09-02,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",/pUul9pGWOKT7X0smkTvsIEIQxcP.jpg,/naGU49u4BXynQ1o5L755pfs8dom.jpg,EXISTING_TMDB_ID,CONFIDENT,
Rise of the Planet of the Apes,Fandango | Movies Anywhere,MATCH_EXISTING,Rise of the Planet of the Apes,61791,2011,,61791,Rise of the Planet of the Apes,Rise of the Planet of the Apes,2011,2011-08-03,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.",/oqA45qMyyo1TtrnVEBKxqmTPhbN.jpg,/6cCF0KMUO2QmrVsQFujkQduREXX.jpg,EXISTING_TMDB_ID,CONFIDENT,
