title	digital	status	existing_match	tmdbId	year	notes
Fast & Furious Presents: Hobbs & Shaw	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Fast Five	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Fast X	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Father Goose	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Final Destination 3	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Final Destination 5	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
For Love of the Game	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Friends With Benefits	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Full Metal Jacket	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Furious 7	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Ghost	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Ghostbusters (2016) Extended Edition	Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Ghostbusters: Afterlife	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Gladiator II	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Groundhog Day	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Haul Out the Holly	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Haul Out the Holly: Lit Up	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
History of the World, Part I	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Home for the Holidays	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Hook	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Houseboat	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
How the Grinch Stole Christmas! / Horton Hears a Who!	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
How to Train Your Dragon	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
How to Train Your Dragon 2	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Idiocracy	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
In the Grey	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Indian Summer	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Indiscreet	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Is This Thing On?	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
It Happens Every Spring	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Jason Bourne	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Just One of the Guys	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Kill Bill: The Whole Bloody Affair	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Killers	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Knives Out	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Kuffs	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Kung Fu Panda	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
La La Land	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Lean on Me	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Little Big League	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Little Shop of Horrors	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Little Women	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Lolita	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
London Has Fallen	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
MacGruber	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Mad Max: Fury Road	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Magnolia	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Magnolia (1999)	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Mary Poppins	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Maze Runner: The Death Cure	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Maze Runner: The Scorch Trials	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Mechanic Resurrection	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Mickey's Magical Christmas: Snowed In at the House of Mouse	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Midnight Run	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Miracle on 34th Street	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Miracle on 34th Street (1947)	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Murder on the Orient Express	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Nerve	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Network	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Never Been Kissed	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
No Hard Feelings	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Operation Fortune: Ruse de Guerre	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Operation Petticoat	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Out of Sight	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Paranormal Activity	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Passenger 57	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Pixie Hollow Games: Disney Fairies (Short)	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Plane	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Psycho	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Psycho (1998)	Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Puffs	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rango	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Ready Player One	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rocky	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rocky II	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rocky III	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rocky IV	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rocky IV: Rocky vs. Drago The Ultimate Director's Cut	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Rocky V	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Roger Corman's Death Race 2050	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Schindler's List	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Shelter	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Skyfall	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Sneakers	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
So I Married An Axe Murderer	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Son-In-Law	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Soul Survivors	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Spectre	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Spider-Man: Homecoming	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Spider-Man: Into The Spider-Verse	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Spider-Man: No Way Home	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Spy Game	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Street Fighter	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Sudden Death	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Sunset Boulevard	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Teen Witch	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
That Touch of Mink	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Addams Family	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The American President	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Conversation	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Expendables 3	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Fall Guy	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Fate of the Furious	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Final Destination 4	Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Fugitive	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Grass Is Greener	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Great Outdoors	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Hangover Part 2	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Hangover Part 3	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Hangover Part II	Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Hangover Part III	Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Housemaid	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Hunger Games: The Ballad of Songbirds & Snakes	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Italian Job	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Land Before Time XII: The Great Day of the Flyers	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The LEGO Ninjago Movie	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Lost World: Jurassic Park	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Man Who Invented Christmas	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Mask of Zorro	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Maze Runner	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Ministry Of Ungentlemanly Warfare	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Naked Gun	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Nice Guys	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Producers	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Prot̩g̩	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Score	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Shining	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Siege	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Sound of Music	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Super Mario Bros. Movie	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The Unbearable Weight of Massive Talent	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
The War of the Roses	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
To Catch a Thief	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Twister	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Twisters	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Valentine's Day	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Venom	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Venom: Let There Be Carnage	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Vertigo	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
What Happens Later	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
